an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU0501,RFU0600,RFU0601,PRC1400,PRC1401,PRC1500,PRC1501,PRC1600,PRC1601,PRC2200,RFU3001,PRC2201,PRC2300,PRC2000,RAT0130,RAT0131,IND0102,RFU3002,RFU3003,RFU0700,RFU0702,PRR0202,PRR0203,RFU0400,RFU0401,RFU0500
2023,2023,05025,Hope,CT,608,1 @ 1 999,AR050,Bonaventure,11,Gaspésie-Îles-de-la-Madeleine,,,59952167.880000,,6065397.000000,,0.834500,,0.044100,,0.020200,,0.101200,,,172647.000000,159845.000000,93093.000000,,54.000000,644.000000,,59949393.000000,,50026800.000000,,2644737.000000,,1212459.000000
2023,2023,05032,Paspébiac,V,3198,2 000 @ 9 999,AR050,Bonaventure,11,Gaspésie-Îles-de-la-Madeleine,,,294821308.980000,,10722690.000000,,0.848600,,0.100500,,0.011800,,0.039100,,,168359.000000,142213.000000,126424.000000,,46.000000,2332.000000,,273907557.000000,,232431903.000000,,27532395.000000,,3220569.000000
2023,2023,05040,New Carlisle,M,1436,1 @ 1 999,AR050,Bonaventure,11,Gaspésie-Îles-de-la-Madeleine,,,127675930.800000,,6978730.000000,,0.874700,,0.050300,,0.005400,,0.069600,,,148414.000000,123981.000000,96798.000000,,56.000000,1319.000000,,100263130.000000,,87697060.000000,,5041300.000000,,546040.000000
2023,2023,05045,Bonaventure,V,2739,2 000 @ 9 999,AR050,Bonaventure,11,Gaspésie-Îles-de-la-Madeleine,,,327965215.600000,,13498470.000000,,0.774900,,0.135900,,0.044500,,0.044800,,,199854.000000,153483.000000,136709.000000,,50.000000,2399.000000,,301585361.000000,,233687935.000000,,40987886.000000,,13411070.000000
2023,2023,05050,Saint-Elzéar,M,465,1 @ 1 999,AR050,Bonaventure,11,Gaspésie-Îles-de-la-Madeleine,,,36596646.900000,,3992175.000000,,0.709000,,0.155600,,0.023300,,0.112000,,,103224.000000,87018.000000,55115.000000,,32.000000,664.000000,,35630397.000000,,25262325.000000,,5545782.000000,,830115.000000
2023,2023,05055,Saint-Siméon,P,1215,1 @ 1 999,AR050,Bonaventure,11,Gaspésie-Îles-de-la-Madeleine,,,111009355.200000,,4019112.000000,,0.872400,,0.061300,,0.029800,,0.036600,,,185027.000000,146676.000000,108196.000000,,62.000000,1026.000000,,109892592.000000,,95865768.000000,,6735852.000000,,3271860.000000
2023,2023,05060,Caplan,M,2016,2 000 @ 9 999,AR050,Bonaventure,11,Gaspésie-Îles-de-la-Madeleine,,,199135158.560000,,7508904.000000,,0.832000,,0.097300,,0.032000,,0.038600,,,187357.000000,149243.000000,136114.000000,,50.000000,1463.000000,,194494144.000000,,161824936.000000,,18933304.000000,,6227000.000000
2023,2023,05065,Saint-Alphonse,M,730,1 @ 1 999,AR050,Bonaventure,11,Gaspésie-Îles-de-la-Madeleine,,,53985927.600000,,3517470.000000,,0.753800,,0.135200,,0.044200,,0.066800,,,127755.000000,108748.000000,75823.000000,,44.000000,712.000000,,52641567.000000,,39679695.000000,,7117209.000000,,2327193.000000
2023,2023,05070,New Richmond,V,3873,2 000 @ 9 999,AR050,Bonaventure,11,Gaspésie-Îles-de-la-Madeleine,,,410096509.080000,,14616213.000000,,0.737200,,0.203900,,0.022300,,0.036600,,,199303.000000,155256.000000,156885.000000,,57.000000,2614.000000,,399279648.000000,,294356466.000000,,81400416.000000,,8906553.000000
2023,2023,05077,Cascapédia-Saint-Jules,M,763,1 @ 1 999,AR050,Bonaventure,11,Gaspésie-Îles-de-la-Madeleine,,,78792699.300000,,7680750.000000,,0.804500,,0.078200,,0.019400,,0.097900,,,161170.000000,145223.000000,81650.000000,,47.000000,965.000000,,78451170.000000,,63115395.000000,,6136515.000000,,1518510.000000
